id,province,name,Latitude,Longitude,Type,Name_Type,Year
17861,Henan,Sijiamen Protestant Church,34.529305,113.496357,1,Protestantism,1996
17862,Henan,Xinzhuang Protestant Church,34.45222,113.397646,1,Protestantism,1997
17863,Henan,Guozhuang Protestant Church,34.51346,113.520962,1,Protestantism,1999
17864,Henan,Fan Village Mosque Democratic Management Committee,34.56229,113.295327,5,Islam,1999
17865,Henan,Gegou Protestant Church Democratic Management Group,34.44806,113.325651,1,Protestantism,1995
17866,Henan,Kaiyang South Road Mosque,34.513017,113.373482,5,Islam,2000
17867,Henan,Xinmi City Protestant Three-self Patriotic Movement Committee,34.513017,113.373482,10,Protestantism,1994
17868,Henan,Litang Protestant Church,34.475811,113.416203,1,Protestantism,1990
17869,Henan,Huajiamen Protestant Church,34.595426,113.527462,1,Protestantism,1993
17870,Henan,Tianye Cavern Management Office,34.456403,113.367488,4,Daoism,1999
17871,Henan,Chugou Protestant Church,34.504912,113.413416,1,Protestantism,1995
17872,Henan,Longgang Protestant Church Democratic Management Group,34.475933,113.345375,1,Protestantism,1998
17873,Henan,Tianye Cavern Daoist Management Committee,34.457783,113.345462,4,Daoism,1996
17874,Henan,Xinmi City Mosque Democratic Management Committee,34.475811,113.416203,5,Islam,1949
17875,Henan,Xingshugang Protestant Church,34.433912,113.415189,1,Protestantism,1995
17876,Henan,Luanshipo Protestant Church,34.600463,113.435203,1,Protestantism,1994
17877,Henan,Liugou Village Protestant Church,34.595426,113.527462,1,Protestantism,1996
17878,Henan,Shengshui Temple Buddhist Temple,34.615476,113.534786,3,Buddhism,1998
17879,Henan,Fangou Protestant Church Democratic Management Group,34.387026,113.511325,1,Protestantism,1990
17880,Henan,Guankou Protestant Church,34.379369,113.544055,1,Protestantism,2000
17881,Henan,Quliang First Protestant Church,34.52878,113.604069,1,Protestantism,1995
17882,Henan,Yuanzhuang Protestant Church,34.570255,113.368663,1,Protestantism,1990
17883,Henan,Quliang Mosque,34.52878,113.604069,5,Islam,1996
17884,Henan,Litang Protestant Church Democratic Management Group,34.475811,113.416203,1,Protestantism,1994
17885,Henan,Tancunwan Protestant Church,34.509907,113.271329,1,Protestantism,2001
17886,Henan,Chuling Protestant Church,34.408768,113.431994,1,Protestantism,1998
17887,Henan,Fan Village Protestant Church,34.56229,113.295327,1,Protestantism,1987
17888,Henan,Laiji Town Protestant Church,34.487769,113.461432,1,Protestantism,1995
17889,Henan,Zhujiaan Protestant Church,34.563064,113.241168,1,Protestantism,1996
17890,Henan,Litang Mosque Democratic Management Committee,34.475811,113.416203,5,Islam,1995
17891,Henan,Second Protestant Church,34.52878,113.604069,1,Protestantism,1999
17892,Henan,Chaan Village Protestant Church,34.587496,113.323104,1,Protestantism,2000
17893,Henan,Dafawang Temple,34.514439,113.370896,3,Buddhism,1996
17894,Henan,Laojun Cavern Temple,34.514439,113.370896,4,Daoism,2003
17895,Henan,Liumen Village Religious Site,34.461228,113.329363,1,Protestantism,1994
17896,Henan,Yuzhuang Protestant Church,34.548676,113.820238,1,Protestantism,1998
17897,Henan,Lühuai Village Protestant Church,34.382955,113.830675,1,Protestantism,1996
17898,Henan,Gu Chan Temple,34.334053,113.547248,3,Buddhism,2004
17899,Henan,West Protestant Association,34.390416,113.771872,10,Protestantism,2002
17900,Henan,Laoguanli Protestant Church,34.345296,113.723121,1,Protestantism,1985
17901,Henan,East Protestant Association,34.40978,113.74474,10,Protestantism,1994
17902,Henan,Xindian Town Protestant Church,34.387672,113.59849,1,Protestantism,1990
17903,Henan,Yousheng Temple Management Committee,34.36752,113.536865,3,Buddhism,1999
17904,Henan,Tieding Mosque Democratic Management Committee,34.523234,113.148138,5,Islam,1949
17905,Henan,Dengfeng City Islamic Association,34.464277,113.027287,5,Islam,1999
17906,Henan,Dajindian Town Protestant Church,34.37264,112.986244,1,Protestantism,1985
17907,Henan,Xiguan Mosque,34.464277,113.027287,5,Islam,2002
17908,Henan,Daye Town Protestant Church,34.425624,113.233264,1,Protestantism,2000
17909,Henan,Zhuangtou Protestant Church,34.379629,112.9316,1,Protestantism,1999
17910,Henan,Chengguan Church,34.457402,113.031622,1,Protestantism,1953
17911,Henan,Wang Village Protestant Church,34.300941,112.919929,1,Protestantism,1993
17912,Henan,Songyang Protestant Church,34.454915,113.052961,1,Protestantism,2000
17913,Henan,Mount Song Shaolin Temple,34.438189,113.004264,3,Buddhism,1983
17914,Henan,Laojun Cavern Temple,34.519664,113.004052,4,Daoism,2003
17915,Henan,Wuliang Temple,34.80745,114.355942,4,Daoism,2001
17916,Henan,Jiamiao Street Mosque (Women's Mosque),34.799959,114.354847,5,Islam,1986
17917,Henan,Baozhu Temple,34.799959,114.354847,3,Buddhism,1931
17918,Henan,Xipiqu Women's Mosque,34.798434,114.343806,5,Islam,1990
17919,Henan,Jiamiao Street Mosque,34.799959,114.354847,5,Islam,1986
17920,Henan,West Grand Mosque,34.798434,114.343806,5,Islam,1975
17921,Henan,Sanmin Alley Women's Mosque Democratic Management Group,34.797,114.356,5,Islam,1992
17922,Henan,Shanyitang Mosque,34.79686,114.35245,5,Islam,1800
17923,Henan,Sanmin Alley Mosque Management Committee,34.797,114.356,5,Islam,1993
17924,Henan,Xitai Protestant Management Group,34.802099,114.328553,1,Protestantism,1997
