province,Latitude,Longitude
Yunnan,22.484043,101.509464
Yunnan,22.512694,102.163986
Yunnan,22.552857,101.949468
Yunnan,22.484043,101.509464
Yunnan,22.683733,101.798398
Yunnan,22.612849,101.968136
Yunnan,22.612849,101.968136
Yunnan,22.788812,101.284027
Yunnan,22.602191,102.08315
Yunnan,22.633416,101.838632
Yunnan,22.761636,101.882161
Yunnan,22.484043,101.509464
Yunnan,22.512694,102.163986
Yunnan,22.7997,101.93205
Yunnan,22.814047,101.803732
Yunnan,22.727269,101.908406
Yunnan,22.484043,101.509464
Yunnan,22.551378,101.717427
Yunnan,22.551378,101.717427
Yunnan,22.602191,102.08315
Yunnan,22.612849,101.968136
Yunnan,22.480101,101.988229
Yunnan,22.699196,102.006341
Yunnan,22.484043,101.509464
Yunnan,22.68538,101.936385
Yunnan,22.460925,101.897464
Yunnan,22.580227,101.867273
Yunnan,22.612849,101.968136
Yunnan,22.596836,101.90673
Yunnan,22.555097,102.117745
Yunnan,22.562348,101.650176
Yunnan,22.491176,102.209617
Yunnan,22.637832,101.861406
Yunnan,22.681595,101.651191
Yunnan,22.317846,99.591802
Yunnan,22.307422,99.269673
Yunnan,22.297959,99.57635
Yunnan,22.297959,99.57635
Yunnan,22.20682,99.31728
Yunnan,22.16009,99.581992
Yunnan,22.327387,99.608318
Yunnan,22.327387,99.608318
Yunnan,22.488747,99.678971
Yunnan,22.327387,99.608318
Yunnan,22.154933,99.278213
Yunnan,22.488747,99.678971
Yunnan,22.16009,99.581992
Yunnan,22.425237,99.750761
Yunnan,22.154933,99.278213
Yunnan,22.229321,99.376912
Yunnan,22.251761,99.445915
Yunnan,22.327387,99.608318
Yunnan,22.446722,99.666178
Yunnan,22.327387,99.608318
Yunnan,22.16009,99.581992
Yunnan,22.446722,99.666178
Yunnan,22.229321,99.376912
Yunnan,22.297959,99.57635
Yunnan,22.34813,99.553867
Yunnan,22.20682,99.31728
Yunnan,22.201148,99.372821
Yunnan,22.154933,99.278213
Yunnan,22.34813,99.553867
Yunnan,22.16009,99.581992
Yunnan,22.329228,99.584247
Yunnan,22.16009,99.581992
Yunnan,22.223903,99.632721
Yunnan,22.372931,99.607691
Yunnan,22.229321,99.376912
Yunnan,22.34813,99.553867
Yunnan,22.327387,99.608318
Yunnan,22.154933,99.278213
Yunnan,22.154933,99.278213
Yunnan,22.488747,99.678971
Yunnan,22.297959,99.57635
Yunnan,22.307422,99.269673
Yunnan,22.223903,99.632721
Yunnan,22.154933,99.278213
Yunnan,22.317846,99.591802
Yunnan,22.154933,99.278213
Yunnan,22.20682,99.31728
Yunnan,22.229321,99.376912
Yunnan,22.372997,99.669405
Yunnan,22.34813,99.553867
Yunnan,22.20682,99.31728
Yunnan,22.154933,99.278213
Yunnan,22.154933,99.278213
Yunnan,22.223903,99.632721
Yunnan,22.297959,99.57635
Yunnan,22.327387,99.608318
Yunnan,22.425237,99.750761
Yunnan,22.317846,99.591802
Yunnan,22.327387,99.608318
Yunnan,22.297959,99.57635
Yunnan,22.317846,99.591802
Yunnan,22.327387,99.608318
Yunnan,22.201148,99.372821
Yunnan,22.154933,99.278213
Yunnan,22.201148,99.372821
Yunnan,22.20682,99.31728
Yunnan,22.175135,99.619141
Yunnan,22.229321,99.376912
Yunnan,22.229321,99.376912
Yunnan,22.229321,99.376912
Yunnan,22.229321,99.376912
Yunnan,23.123023,99.818987
Yunnan,22.500937,99.634482
Yunnan,22.214278,100.044571
Yunnan,22.261344,99.801849
Yunnan,23.216236,99.720399
Yunnan,23.1984,99.731367
Yunnan,23.216236,99.720399
Yunnan,22.46992,99.752109
Yunnan,23.058577,99.815695
Yunnan,22.218478,99.703358
